endereco,preco,quartos,banheiros,area
"59133-090, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",185000,2.0,1.0,56.0
"59020-505, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",2200000,3.0,4.0,208.0
"59012-570, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",650000,3.0,,120.0
"59062-460, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",430000,3.0,3.0,98.0
"59012-270, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",4000000,4.0,6.0,503.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",419005,,2.0,68.0
"Barro Vermelho, Região Leste, Natal, Estado do Rio Grande do Norte",399000,3.0,,100.0
"59015-060, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1387376,4.0,5.0,193.0
"59015-090, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1250000,3.0,4.0,144.0
"59086-005, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",365000,2.0,2.0,64.0
"59056-230, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",788596,3.0,4.0,110.0
"59015-090, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1680000,3.0,5.0,165.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",580000,4.0,4.0,120.0
"59020-160, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",550000,3.0,4.0,257.0
"Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",190990,1.0,1.0,47.0
"59086-005, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",450000,3.0,2.0,99.0
"59064-585, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",598000,3.0,3.0,98.0
"59022-460, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",490000,3.0,5.0,170.0
"Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",115000,2.0,,58.0
"59014-580, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",359000,3.0,2.0,100.0
"59067-300, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",260000,2.0,,55.0
"59082-290, Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",220000,3.0,2.0,
"59075-400, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",225000,2.0,2.0,57.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",1225000,4.0,5.0,250.0
"59064-470, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",530000,3.0,5.0,186.0
"59091-250, Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",218900,2.0,2.0,54.0
"59062-380, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",750000,3.0,5.0,
"59082-160, Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",990000,4.0,5.0,250.0
"59014-060, Areia Preta, Região Leste, Natal, Estado do Rio Grande do Norte",2600000,4.0,6.0,236.0
"Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",630000,4.0,,160.0
"59073-090, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",136000,2.0,1.0,58.0
"59091-130, Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",170000,2.0,2.0,57.0
"59030-570, Barro Vermelho, Região Leste, Natal, Estado do Rio Grande do Norte",285000,3.0,2.0,76.0
"59067-300, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",215000,2.0,,55.0
"59076-200, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",220000,3.0,2.0,80.0
"59088-725, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",127000,2.0,1.0,52.0
"59012-110, Ribeira, Região Leste, Natal, Estado do Rio Grande do Norte",350000,3.0,2.0,76.0
"59075-200, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",810000,3.0,2.0,102.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",900000,,4.0,127.0
"59075-770, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",790000,3.0,4.0,119.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",823000,3.0,4.0,100.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",479467,3.0,2.0,79.0
"59133-090, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",184000,2.0,1.0,47.0
"59012-570, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",675000,3.0,,120.0
"59076-690, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",245000,3.0,3.0,160.0
"59022-140, Barro Vermelho, Região Leste, Natal, Estado do Rio Grande do Norte",345000,3.0,4.0,136.0
"59012-570, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",1100000,4.0,,214.0
"59064-550, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",890000,4.0,6.0,250.0
"59073-100, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",160000,2.0,2.0,60.0
"Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",594489,3.0,3.0,90.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1225666,4.0,4.0,190.0
"Dix-Sept Rosado, Região Oeste, Natal, Estado do Rio Grande do Norte",335000,3.0,2.0,75.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",387000,1.0,2.0,97.0
"59064-364, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",460000,3.0,3.0,87.0
"59065-780, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",389000,3.0,1.0,150.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",1101523,3.0,3.0,156.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1281053,3.0,4.0,176.0
"59062-350, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",560000,4.0,4.0,103.0
"59075-710, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",1000000,3.0,4.0,130.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",600000,4.0,5.0,220.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",85000,2.0,1.0,45.0
"59082-110, Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",180000,2.0,1.0,60.0
"59012-480, Ribeira, Região Leste, Natal, Estado do Rio Grande do Norte",190000,2.0,,55.0
"59063-150, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",300000,3.0,2.0,136.0
"59014-150, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",596000,3.0,2.0,
"59114-085, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",381000,2.0,2.0,55.0
"59064-580, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",157000,1.0,1.0,45.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",890716,3.0,4.0,81.0
"59012-570, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",1300000,3.0,,120.0
"59092-500, Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",670000,2.0,2.0,80.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",55000,2.0,2.0,55.0
"59020-510, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",2199000,3.0,2.0,208.0
"59020-290, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",800000,3.0,3.0,189.0
"Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",331690,2.0,2.0,54.0
"59092-300, Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",225000,1.0,1.0,27.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",698535,3.0,3.0,142.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",669000,2.0,2.0,61.0
"Natal, Estado do Rio Grande do Norte",1325720,6.0,3.0,110.0
"59066-080, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",549490,3.0,3.0,98.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",1041740,4.0,5.0,144.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",811864,2.0,2.0,75.0
"59020-430, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",2300000,4.0,6.0,350.0
"Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",930000,3.0,5.0,186.0
"59056-450, Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",850000,4.0,4.0,182.0
"59065-780, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",430000,3.0,4.0,150.0
"Rocas, Região Leste, Natal, Estado do Rio Grande do Norte",500000,3.0,1.0,93.0
"59090-450, Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",277000,2.0,2.0,64.0
"Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",1200000,4.0,4.0,320.0
"59022-205, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",419005,2.0,2.0,68.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",85000,2.0,1.0,56.0
"59020-090, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",300000,3.0,3.0,120.0
"59015-270, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",579000,4.0,4.0,103.0
"59067-400, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",196990,2.0,1.0,45.0
"Natal, Estado do Rio Grande do Norte",79000,1.0,1.0,50.0
"59020-030, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",730000,4.0,6.0,260.0
"59022-540, Barro Vermelho, Região Leste, Natal, Estado do Rio Grande do Norte",900000,3.0,5.0,140.0
"59066-035, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",180000,3.0,2.0,82.0
"59064-340, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",619000,3.0,4.0,110.0
"59073-110, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",120000,2.0,1.0,43.0
"Natal, Estado do Rio Grande do Norte",12000000,,5.0,814.0
"59066-035, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",350000,3.0,1.0,150.0
"59015-110, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1150000,4.0,5.0,140.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",744802,3.0,3.0,104.0
"59022-450, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",390000,3.0,3.0,123.0
"59022-250, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",420000,3.0,3.0,178.0
"Natal, Estado do Rio Grande do Norte",2200000,,4.0,208.0
"59014-490, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1261490,4.0,5.0,150.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",780000,3.0,3.0,88.0
"59020-650, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",350000,3.0,3.0,170.0
"59020-110, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",720000,3.0,3.0,96.0
"59086-005, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",320000,2.0,2.0,64.0
"59020-330, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",265000,3.0,3.0,76.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",850000,3.0,3.0,98.0
"59020-250, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",580000,4.0,3.0,175.0
"59014-150, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",568661,3.0,3.0,97.0
"59015-060, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1386876,4.0,5.0,193.0
"59020-035, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",1247440,4.0,5.0,190.0
"Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",730000,4.0,6.0,286.0
"59012-570, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",1250000,4.0,6.0,214.0
"59064-330, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",485000,3.0,2.0,87.0
"59073-350, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",145000,3.0,2.0,63.0
"59086-005, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",540000,3.0,1.0,114.0
"Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",55000,2.0,1.0,54.0
"59064-720, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",260000,2.0,2.0,57.0
"59022-460, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",470000,3.0,5.0,256.0
"59084-470, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",595000,3.0,3.0,90.0
"59020-330, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",250000,3.0,2.0,76.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",150000,2.0,1.0,58.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",274499,3.0,3.0,90.0
"59064-490, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",620000,4.0,4.0,240.0
"59020-280, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1750000,4.0,5.0,282.0
"59020-650, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",350000,3.0,3.0,170.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",699990,3.0,4.0,1.0
"59022-010, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",650000,4.0,5.0,184.0
"59073-100, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",110000,2.0,1.0,51.0
"59073-100, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",145000,2.0,2.0,65.0
"59068-335, Pitimbu, Região Sul, Natal, Estado do Rio Grande do Norte",112000,2.0,1.0,55.0
"59066-220, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",600000,4.0,1.0,18.0
"59022-250, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",330000,3.0,3.0,104.0
"59020-505, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",2100000,4.0,5.0,20.0
"59022-255, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",580000,4.0,4.0,198.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",675000,3.0,1.0,88.0
"59015-350, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1250000,4.0,6.0,300.0
"59020-010, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",345000,4.0,2.0,137.0
"59014-460, Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",568150,2.0,2.0,97.0
"59012-500, Rocas, Região Leste, Natal, Estado do Rio Grande do Norte",290000,2.0,1.0,54.0
"59073-240, Planalto, Região Oeste, Natal, Estado do Rio Grande do Norte",166899,2.0,1.0,44.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",550000,3.0,5.0,180.0
"59064-570, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",1250000,4.0,6.0,255.0
"59133-365, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",154900,2.0,1.0,45.0
"59014-540, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",743000,3.0,3.0,88.0
"59084-200, Neópolis, Região Sul, Natal, Estado do Rio Grande do Norte",359999,3.0,2.0,78.0
"Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",469990,3.0,3.0,96.0
"59020-500, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1247950,4.0,5.0,190.0
"59122-518, Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",169400,2.0,1.0,47.0
"59020-145, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",700000,3.0,5.0,160.0
"59022-250, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",750000,4.0,5.0,200.0
"Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",300000,2.0,2.0,54.0
"59022-200, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",520000,3.0,4.0,107.0
